In which subject is your highest academic qualification?,edu2. In which subject is your highest academic qualification?
Computer Science,69
Physics and Astronomy,69
Mathematics,19
Chemistry,16
Biological Sciences,15
Other,12
Geography & Environmental Sciences,10
Electrical & Electronic Engineering,8
Civil Engineering,6
Mechanical Engineering,4
General Engineering,3
Psychology,3
Linguistics,3
Geology,3
Materials Technology,3
Medicine,2
Aeronautical & Manufacturing Engineering,2
Theology & Religious Studies,1
Robotics,1
History,1
Art & Design,1
,2
