"Which of the following sources were used to fund your current, largest project three years ago?",Count
Grants,127
My previous project is less than 3 years old,24
Industry support,23
Volunteers,10
Consulting & services,6
Dual license,2
Open core,2
Advertising & sponsorships,1
SaaS,1
Foundations & consortiums,1
Venture capital,1
Trademark licensing & franchising,1
Books & merchandise,0
Crowdfunding (recurring),0
Crowdfunding (one-time),0
Donation button,0
Membership,0
