"How would you describe your ethnic origin? This refers to people who share the same cultural background and identity, not country of birth or nationality","socio5. How would you describe your ethnic origin? This refers to people who share the same cultural background and identity, not country of birth or nationality."
White: English / Welsh / Scottish / Northern Irish / British,136
White: Any other White background,57
Asian / Asian British: Chinese,5
White: Irish,3
Other Ethnic group: Any other ethnic group,3
"Mixed / Multipe Ethnic groups: Any other Mixed / Multiple ethnic background,",2
Black / African / Caribbean / Black Britsh:  African,2
Mixed / Multipe Ethnic groups: White and Black Caribbean,1
Asian / Asian British: Indian,1
,43
