"Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with?","currentWork1. Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with?"
Regularly change researcher(s),122
Same researcher(s),113
,18
