What type of organisation do you work for?,currentEmp1. What type of organisation do you work for? [PERCENTAGE]
University - within an academic group,50.59288537549407
National laboratory,16.205533596837945
University - within an IT service,8.300395256916996
University - within an HPC group,7.114624505928854
Government,6.719367588932807
Other,5.138339920948617
Private company,3.1620553359683794
NGO,2.766798418972332
