,It is likely that I will gain a promotion within my current group,The process I have to complete to gain a promotion is clear and understandable,There are many opportunities within my chosen career plan,My current position is an integral part of my career plan,It is likely that my next position will be an RSE role
Strongly disagree,32.22222222222222,36.666666666666664,11.11111111111111,5.555555555555555,14.444444444444443
Disagree,27.73109243697479,29.411764705882355,21.008403361344538,10.084033613445378,11.76470588235294
Neither agree or disagree,20.35928143712575,20.35928143712575,19.760479041916167,16.16766467065868,23.353293413173652
Agree,13.48314606741573,9.550561797752808,24.15730337078652,27.52808988764045,25.280898876404496
Strongly Agree,11.428571428571429,9.523809523809524,22.857142857142858,39.04761904761905,17.142857142857142
