,My current job satisfies my personal needs,I would accept another job at the same compensation level if I was offered it
Strongly disagree,23.076923076923077,76.92307692307693
Disagree,15.151515151515152,84.84848484848484
Neither agree or disagree,25.925925925925924,74.07407407407408
Agree,82.41758241758241,17.582417582417584
Strongly Agree,88.57142857142857,11.428571428571429
