Affective recognition,I am satisfied with my supervisor/line manager's confidence in me,I am satisfied with a word of thanks from my supervisor/line manager,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,I am satisfied with the compliments from my supervisor/line manager concerning my work,I am satisfied with the encouragement from my supervisor/line manager while doing my job
Strongly disagree,9.090909090909092,18.181818181818183,27.27272727272727,21.21212121212121,24.242424242424242
Disagree,11.538461538461538,12.82051282051282,28.205128205128204,21.794871794871796,25.64102564102564
Neither agree or disagree,17.21311475409836,24.59016393442623,17.21311475409836,22.131147540983605,18.852459016393443
Agree,20.209059233449477,21.951219512195124,18.81533101045296,18.81533101045296,20.209059233449477
Strongly Agree,29.37062937062937,16.783216783216783,18.181818181818183,18.88111888111888,16.783216783216783
