Where was your previous job based?,prevEmp1. Where was your previous job based? [PERCENTAGE]
University,48.10126582278481
Private company,23.417721518987342
This is my first job,17.088607594936708
National laboratory,6.329113924050633
Other government agency,3.1645569620253164
Other non-profit,1.89873417721519
