General satisfaction,Your current position,Your career
0 - Not at all satisfied,75.0,25.0
1,100.0,0.0
2,70.0,30.0
3,36.36363636363637,63.63636363636363
4,25.0,75.0
5,38.095238095238095,61.904761904761905
6,39.285714285714285,60.71428571428571
7,61.016949152542374,38.983050847457626
8,44.11764705882353,55.88235294117647
9,58.333333333333336,41.66666666666667
10 - Completely satisfied,42.857142857142854,57.14285714285714
