What type of organization do you work for?,currentEmp1. What type of organization do you work for?
University (offering both undergraduate and graduate programs),121
National laboratory,18
Private company,8
"College, including community colleges (offering undergraduate programs)",5
Other non-profit,5
Other government agency,3
Other,2
,2
