"Which of the following sources are used to fund your current, largest project?",Count
Grants,91
Funding by institution,52
Industry support,14
I volunteer my time,11
Foundations & consortiums,5
Consulting & services,3
Re-charge or charge-back,1
Membership,1
Trademark licensing & franchising,1
Donation button,0
Crowdfunding (one-time),0
Crowdfunding (recurring),0
Books & merchandise,0
Advertising & sponsorships,0
SaaS,0
Dual license,0
Open core,0
Venture capital,0
