Please select your age,socio3. Please select your age [PERCENTAGE]
18 to 24 years,1.4285714285714286
25 to 34 years,37.857142857142854
35 to 44 years,31.428571428571427
45 to 54 years,20.0
55 to 64 years,8.571428571428571
Age 65 or older,0.7142857142857143
