What programming languages do you use at work? (Select as many as apply),Count
Python,121
C,73
C++,70
R,65
Fortran,51
SQL,49
Matlab,46
JavaScript,45
Java,30
Perl,26
PHP,22
Ruby,14
Julia,12
Lua,10
C#,7
Go,7
Scala,6
Swift,4
TypeScript,3
Rust,3
Objective-C,3
VBA,3
Visual Basic,2
F#,2
Clojure,1
Haskell,1
CoffeeScript,1
Common Lisp,1
Assembly,1
Elixir,0
VB.NET,0
Smalltalk,0
Erlang,0
Hack,0
Groovy,0
Dart,0
