,0 - Not at all satisfied,1,2,3,4,5,6,7,8,9,10 - Completely satisfied
"In general, how satisfied are you with",3.0,1.0,7.0,4.0,1.0,8.0,11.0,36.0,30.0,28.0,12.0
"In general, how satisfied are you with",1.0,,3.0,7.0,3.0,13.0,17.0,23.0,38.0,20.0,16.0
