,I find real enjoyment in my job,Most days I am enthusiastic about my job,I feel fairly well satisfied with my job,I like my job better than the average person
Strongly disagree,3,3,3,3
Disagree,4,4,10,5
Neither agree or disagree,15,20,15,18
Agree,74,69,76,68
Strongly Agree,41,41,33,38
