"How would you describe your ethnic origin? This refers to people who share the same cultural background and identity, not country of birth or nationality","socio5. How would you describe your ethnic origin? This refers to people who share the same cultural background and identity, not country of birth or nationality."
White,101
Asian,14
"Hispanic, Latino, or Spanish origin",8
Other,6
Black or African American,2
,33
