"In general, what sort of testing do you conduct on your software? (check all that apply)",Count [PERCENTAGE]
Developers conduct testing,52.29007633587786
Users conduct testing,35.11450381679389
No formal testing,6.870229007633588
Test engineers conduct testing,5.7251908396946565
