,It is likely that I will gain a promotion within my current group,The process I have to complete to gain a promotion is clear and understandable,There are many opportunities within my chosen career plan,My current position is an integral part of my career plan,It is likely that my next position will be an RSE role
Strongly disagree,28.57142857142857,21.428571428571427,21.428571428571427,7.142857142857142,21.428571428571427
Disagree,18.181818181818183,18.181818181818183,27.27272727272727,18.181818181818183,18.181818181818183
Neither agree or disagree,37.5,18.75,6.25,6.25,31.25
Agree,9.090909090909092,18.181818181818183,22.727272727272727,36.36363636363637,13.636363636363635
Strongly Agree,0.0,28.57142857142857,28.57142857142857,28.57142857142857,14.285714285714285
