"In general, what sort of testing do you conduct on your software? (check all that apply)",Count [PERCENTAGE]
Developers conduct testing,41.37931034482759
Users conduct testing,27.586206896551722
No formal testing,24.137931034482758
Test engineers conduct testing,6.896551724137931
