What programming languages do you use at work? (Select as many as apply),Count
Python,9
SQL,4
R,4
C,4
C++,4
Fortran,3
JavaScript,3
C#,2
Matlab,1
Perl,1
Visual Basic,1
Assembly,1
Java,1
VBA,1
VB.NET,1
Erlang,1
Lua,0
Go,0
Elixir,0
Ruby,0
Clojure,0
Objective-C,0
Scala,0
Swift,0
Julia,0
Haskell,0
Groovy,0
Hack,0
TypeScript,0
Rust,0
F#,0
CoffeeScript,0
Smalltalk,0
Common Lisp,0
PHP,0
Dart,0
