,Count
Grants,5
Not applicable,4
Industry support,1
Crowdfunding (one-time),0
Crowdfunding (recurring),0
Books & merchandise,0
Advertising & sponsorships,0
Consulting & services,0
Donation button,0
SaaS,0
Membership,0
Dual license,0
Open core,0
Foundations & consortiums,0
Venture capital,0
Trademark licensing & franchising,0
I volunteer my time,0
