What type of organisation do you work for?,currentEmp1. What type of organisation do you work for? [PERCENTAGE]
University,45.45454545454545
"Research Organisation (e.g. SKA, HartRAO, SAEON, SANSA, ...)",31.818181818181817
Other,9.090909090909092
Start-up Company,4.545454545454546
Private Company,4.545454545454546
Research Council,4.545454545454546
