Publications,Yes,No
 Has your software contributed to research that has been published in a journal or at a conference?,73.68421052631578,26.31578947368421
" In general, when your software contributes to a paper, are you acknowledged in that paper?",42.10526315789473,57.89473684210527
 Are you generally named as the main author of the paper?,37.5,62.5
 Are you generally named as a co-author of the paper?,100.0,
