Reasons to choose this job,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
Desire to advance research,50.0,21.428571428571427,14.285714285714285,,14.285714285714285
Flexible working hours,33.33333333333333,8.333333333333332,,25.0,33.33333333333333
Ability to work across disciplines,15.384615384615385,30.76923076923077,23.076923076923077,7.6923076923076925,23.076923076923077
Desire to work in a research environment,14.285714285714285,21.428571428571427,21.428571428571427,21.428571428571427,21.428571428571427
Freedom to choose own working practices,13.333333333333334,26.666666666666668,26.666666666666668,20.0,13.333333333333334
I want to learn new skills,15.384615384615385,23.076923076923077,23.076923076923077,23.076923076923077,15.384615384615385
Opportunity for career advancement,18.181818181818183,18.181818181818183,18.181818181818183,36.36363636363637,9.090909090909092
The salary,10.0,,30.0,20.0,40.0
Opportunity to develop software,,25.0,25.0,37.5,12.5
