"Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with?","currentWork1. Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with? [PERCENTAGE]"
Same researcher(s),57.89473684210527
Regularly change researcher(s),42.10526315789473
