,Count
Apache License 2.0,3
"BSD 3-Clause ""New"" or ""Revised"" license",3
GNU General Public License (GPL),2
MIT license,2
I don't know,2
"BSD 2-Clause ""Simplified"" or ""FreeBSD"" license",0
Common Development and Distribution License,0
Eclipse Public License,0
"GNU Library or ""Lesser"" General Public License (LGPL)",0
Mozilla Public License 2.0,0
