Affective recognition,I am satisfied with my supervisor/line manager's confidence in me,I am satisfied with a word of thanks from my supervisor/line manager,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,I am satisfied with the compliments from my supervisor/line manager concerning my work,I am satisfied with the encouragement from my supervisor/line manager while doing my job
Strongly disagree,22.22222222222222,22.22222222222222,22.22222222222222,11.11111111111111,22.22222222222222
Disagree,0.0,0.0,25.0,50.0,25.0
Neither agree or disagree,17.647058823529413,17.647058823529413,23.52941176470588,17.647058823529413,23.52941176470588
Agree,19.230769230769234,26.923076923076923,19.230769230769234,19.230769230769234,15.384615384615385
Strongly Agree,33.33333333333333,8.333333333333332,16.666666666666664,25.0,16.666666666666664
