,0 - Not at all satisfied,2,3,5,6,7,8,9
"In general, how satisfied are you with your current position",1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0
"In general, how satisfied are you with your career",1.0,,,,4.0,3.0,3.0,2.0
