What is the highest qualification you have obtained?,edu1. What is the highest qualification you have obtained? [PERCENTAGE]
"Further Education (National Diploma, Advanced certificates, Higher Certificates, Advanced National (vocational) Certificate, ...)",4.545454545454546
Honours degree,4.545454545454546
Master degree,22.727272727272727
Doctorate,68.18181818181817
