How many years of Software development experience do you have?,soft1can. How many years of Software development experience do you have?
0,4.0
1,2.0
2,5.0
3,15.0
4,3.0
5,30.0
6,3.0
7,40.0
8,7.0
9,36.0
10,10.0
11,12.0
12,17.0
13,22.0
14,0.0
15,25.0
16,19.0
17,42.0
18,8.0
19,20.0
20,0.0
21,3.0
