,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
Desire to advance research,7.0,3.0,2.0,,2
Flexible working hours,4.0,1.0,,3.0,4
Ability to work across disciplines,2.0,4.0,3.0,1.0,3
Desire to work in a research environment,2.0,3.0,3.0,3.0,3
Freedom to choose own working practices,2.0,4.0,4.0,3.0,2
I want to learn new skills,2.0,3.0,3.0,3.0,2
Opportunity for career advancement,2.0,2.0,2.0,4.0,1
The salary,1.0,,3.0,2.0,4
Opportunity to develop software,,2.0,2.0,3.0,1
