In which subject is your highest academic qualification?,edu2. In which subject is your highest academic qualification? [PERCENTAGE]
Physics and Astronomy,54.54545454545454
Other,9.090909090909092
Mechanical Engineering,4.545454545454546
Psychology,4.545454545454546
Chemistry,4.545454545454546
African languages,4.545454545454546
Electrical & Electronic Engineering,4.545454545454546
Computer Science,4.545454545454546
Economics,4.545454545454546
Biological Sciences,4.545454545454546
