,Count
Physics and Astronomy,12
Computer Science,5
Mathematics,4
Education,3
Accounting & Finance,2
Geography & Environmental Sciences,2
Communication & Media Studies,1
Sports Science,1
Psychology,1
Mechanical Engineering,1
Materials Technology,1
Linguistics,1
General Engineering,1
Electrical & Electronic Engineering,1
Youth Work,1
African languages,1
Chemistry,1
Chemical Engineering,1
American Studies,1
Business & Management Studies,1
Classics & Ancient History,0
Physiotherapy,0
Anatomy & Physiology,0
Medicine,0
Middle Eastern and African Studies,0
Music,0
Nursing,0
Ophthalmics,0
Pharmacology & Pharmacy,0
Philosophy,0
Agriculture & Forestry,0
Politics,0
Architecture,0
Robotics,0
Russian & East European Languages,0
Social Policy,0
Social Work,0
Sociology,0
Theology & Religious Studies,0
Town & Country Planning and Landscape Design,0
Veterinary Medicine,0
Anthropology,0
Art & Design,0
Marketing,0
French,0
Civil Engineering,0
Counselling,0
Criminology,0
Dentistry,0
East & South Asian Studies,0
Economics,0
English,0
Fashion,0
Food Science,0
Geology,0
Complementary Medicine,0
Biological Sciences,0
German,0
Aeronautical & Manufacturing Engineering,0
"History of Art, Architecture & Design",0
"Hospitality, Leisure, Recreation & Tourism",0
Iberian Languages/Hispanic Studies,0
Land & Property Management,0
Law,0
Librarianship & Information Management,0
History,0
