Affective recognition, I am satisfied with my supervisor/line manager's confidence in me, I am satisfied with a word of thanks from my supervisor/line manager
Strongly disagree,44.11764705882353,55.88235294117647
Disagree,46.15384615384615,53.84615384615385
Neither agree or disagree,33.94495412844037,66.05504587155964
Agree,47.51381215469613,52.48618784530387
Strongly Agree,67.3202614379085,32.6797385620915
