Please select the range of your salary,socio4. Please select the range of your salary
Less than £25 000,10.0
£25 000 to £29 999,21.0
£30 000 to £34 999,81.0
£35 000 to £39 999,68.0
£40 000 to £44 999,38.0
£45 000 to £50 000,31.0
£50 000 to £59 999,9.0
£60 000 to £69 999,3.0
£70 000 to £99 000,1.0
More than £100.000,
Prefer not to say,8.0
