,affSat1. I find real enjoyment in my job,affSat2. Most days I am enthusiastic about my job,affSat3. I feel fairly well satisfied with my job
Strongly disagree,8,17,10
Disagree,30,30,40
Neither agree or disagree,58,54,61
Agree,103,115,104
Strongly Agree,72,55,56
