Please select the range of your salary,socio4. Please select the range of your salary [PERCENTAGE]
Less than £25 000,3.7037037037037033
£25 000 to £29 999,7.777777777777778
£30 000 to £34 999,30.0
£35 000 to £39 999,25.185185185185183
£40 000 to £44 999,14.074074074074074
£45 000 to £50 000,11.481481481481481
£50 000 to £59 999,3.3333333333333335
£60 000 to £69 999,1.1111111111111112
£70 000 to £99 000,0.3703703703703704
More than £100.000,0.0
Prefer not to say,2.9629629629629632
