What type of contract are you employed on?,currentEmp10. What type of contract are you employed on? [PERCENTAGE]
Permanent,52.20588235294118
Fixed term,46.32352941176471
Freelancer consultant  contractors,1.1029411764705883
Agency staff,0.3676470588235294
