Affective recognition, I am satisfied with the recognition I receive from my supervisor/line manager for doing my job, I am satisfied with the compliments from my supervisor/line manager concerning my work, I am satisfied with the encouragement from my supervisor/line manager while doing my job
Strongly disagree,35.714285714285715,35.714285714285715,28.57142857142857
Disagree,32.038834951456316,28.155339805825243,39.80582524271845
Neither agree or disagree,32.17821782178218,35.64356435643564,32.17821782178218
Agree,34.6875,31.5625,33.75
Strongly Agree,31.851851851851855,37.03703703703704,31.11111111111111
