What was your academic subject?,edu2. What was your academic subject?
Physical Sciences,110
Computer Sciences,61
Mathematical and Computer Sciences,28
Engineering,23
Biological Sciences,19
Other,7
Combined studies,7
Social studies,7
Subjects allied to Medicine,3
Historical and Philosophical studies,2
Linguistics  Classics and related subjects,2
,4
