Publications,Yes,No
 Were you acknowledged in the paper?,76.79324894514767,23.20675105485232
 Were you named as a co-author of the paper?,71.1297071129707,28.870292887029287
 Were you named as the lead author of the paper?,43.27731092436975,56.72268907563025
