I like my job better than the average person,affSat4. I like my job better than the average person [PERCENTAGE]
Strongly disagree,4.044117647058823
Disagree,7.352941176470589
Neither agree or disagree,29.044117647058826
Agree,37.13235294117647
Strongly Agree,22.426470588235293
