Are you employed as a postdoctoral researcher?,Yes,No,
 Are you employed primarily to develop software for research?,166,104,3
 Do you spend more time developing software than conducting research?,225,40,8
 Are you employed as a postdoctoral researcher?,82,181,10
" Are you the person who ""does computers"" in your research group?",132,85,56
