My current job satisfies my personal needs, My current job satisfies my personal needs, I would accept another job at the same compensation level if I was offered it
Strongly disagree,21,56
Disagree,50,71
Neither agree or disagree,60,79
Agree,97,47
Strongly Agree,44,19
