It would not be very difficult for me to get an equivalent job in a different organisation, It would not be very difficult for me to get an equivalent job in a different organisation, I can think of a number of organisations that would probably offer me a job, My experience is in demand on the labour market
Strongly disagree,22,15,13
Disagree,48,32,13
Neither agree or disagree,70,67,76
Agree,75,102,108
Strongly Agree,56,55,61
