My current position is an integral part of my career plan, It is likely that I will gain a promotion within my current group, The process I have to complete to gain a promotion is clear and understandable, There are many opportunities within my chosen career plan, My current position is an integral part of my career plan, It is likely that my next position will be an RSE role
Strongly disagree,36.015325670498086,32.56704980842912,15.32567049808429,8.045977011494253,8.045977011494253
Disagree,22.039473684210524,25.657894736842106,26.31578947368421,11.513157894736842,14.473684210526317
Neither agree or disagree,17.039106145251395,14.804469273743019,23.743016759776538,20.670391061452513,23.743016759776538
Agree,13.571428571428571,13.571428571428571,15.714285714285714,28.57142857142857,28.57142857142857
Strongly Agree,7.741935483870968,11.612903225806452,14.838709677419354,39.35483870967742,26.451612903225808
