Which university?,currentEmp2. Which university?
University of Oxford,50
Other/Not listed,16
University of Leeds,13
University of Manchester,13
University of Edinburgh,11
University of London,10
University of Southampton,10
University of Reading,10
University of St Andrews,9
University of Sheffield,8
University of Cambridge,7
Lancaster University,4
Imperial College London,4
Durham University,4
University of Bristol,3
University of Nottingham,3
University of Glasgow,3
Brunel University,2
University of Hull,2
University of York,2
Northumbria University,1
Heriot-Watt University,1
University of Bath,1
Cranfield University,1
Newcastle University,1
University of Dundee,1
Manchester Metropolitan University,1
University of Liverpool,1
Queen&#039;s University Belfast,1
University of Kent,1
University of Strathclyde,1
Aberystwyth University,1
University of Sussex,1
,76
