It is likely that my next position will be an RSE role, It is likely that I will gain a promotion within my current group, The process I have to complete to gain a promotion is clear and understandable, There are many opportunities within my chosen career plan, My current position is an integral part of my career plan, It is likely that my next position will be an RSE role
Strongly disagree,94,85,40,21,21
Disagree,67,78,80,35,44
Neither agree or disagree,61,53,85,74,85
Agree,38,38,44,80,80
Strongly Agree,12,18,23,61,41
