Please select your age,socio3. Please select your age [PERCENTAGE]
18 to 24 years,1.4814814814814816
25 to 34 years,35.92592592592593
35 to 44 years,39.62962962962963
45 to 54 years,18.88888888888889
55 to 64 years,4.074074074074074
