Why did you leave the private sector?,prevEmp16b. Why did you leave the private sector?
Others,76
Mismatch between description and promise during the interview and actual job,12
Lack of opportunity to advance,9
Loss of faith and confidence in corporate leaders,8
Excessive overtime hours,5
A work environment that does not encourage teamwork,1
,162
