Are you employed as a postdoctoral researcher?,Yes,No
 Are you employed primarily to develop software for research?,61.48148148148148,38.51851851851852
 Do you spend more time developing software than conducting research?,84.90566037735849,15.09433962264151
 Are you employed as a postdoctoral researcher?,31.1787072243346,68.8212927756654
" Are you the person who ""does computers"" in your research group?",60.82949308755761,39.1705069124424
