I would accept another job at the same compensation level if I was offered it, My current job satisfies my personal needs, I would accept another job at the same compensation level if I was offered it
Strongly disagree,27.27272727272727,72.72727272727273
Disagree,41.32231404958678,58.67768595041323
Neither agree or disagree,43.16546762589928,56.83453237410072
Agree,67.36111111111111,32.63888888888889
Strongly Agree,69.84126984126983,30.158730158730158
