Why did you leave the private sector?,prevEmp16b. Why did you leave the private sector? [PERCENTAGE]
Others,68.46846846846847
Mismatch between description and promise during the interview and actual job,10.81081081081081
Lack of opportunity to advance,8.108108108108109
Loss of faith and confidence in corporate leaders,7.207207207207207
Excessive overtime hours,4.504504504504505
A work environment that does not encourage teamwork,0.9009009009009009
