I find real enjoyment in my job, I find real enjoyment in my job, Most days I am enthusiastic about my job, I feel fairly well satisfied with my job
Strongly disagree,22.857142857142858,48.57142857142857,28.57142857142857
Disagree,30.0,30.0,40.0
Neither agree or disagree,33.52601156069364,31.213872832369944,35.26011560693642
Agree,31.987577639751553,35.714285714285715,32.298136645962735
Strongly Agree,39.34426229508197,30.05464480874317,30.601092896174865
