What was the type of your contract?,prevEmp16d. What was the type of your contract? [PERCENTAGE]
Permanent,52.01793721973094
Fixed-term,41.25560538116592
Freelancer  consultant  contractors,5.829596412556054
Zero hour contract,0.8968609865470852
