What is the highest qualification you have obtained?,edu1. What is the highest qualification you have obtained? [PERCENTAGE]
Doctorate,67.03296703296702
Masters degree,19.413919413919416
Undergraduate degree,12.087912087912088
Further Education (NVQ  A-Level ...),1.098901098901099
None,0.3663003663003663
