"Accounting & Finance";"Rechnungs- und Finanzwesen";"Contabilidad y Finanzas"
"Aeronautical & Manufacturing Engineering";"Luftfahrt und Fertigungstechnik";"Ingeniería y Manufactura Aeronáutica"
"Agriculture & Forestry";"Land- und Forstwirtschaft";"Agricultura y Silvicultura"
"American Studies";"Amerikanistik";"Estudios Americanos"
"Anatomy & Physiology";"Anatomie und Physiologie";"Fisiología y Anatomía"
"Anthropology";"Anthropologie";"Antropología"
"Architecture";"Architektur";"Arquitectura"
"Art & Design";"Kunst & Design";"Arte y Diseño"
"Biological Sciences";"Biowissenschaften";"Ciencias Biológicas"
"Business & Management Studies";"Betriebswirtschaft und Unternehmensführung";"Estudios empresariales y de gestión"
"Chemical Engineering";"Chemieingenieurwesen";"Ingeniería Química"
"Chemistry";"Chemie";"Química"
"Civil Engineering";"Bauingenieurwesen";"Ingeniería Civil"
"Classics & Ancient History";"Altphilologie & Alte Geschichte";"Historia Antigua y Clásica"
"Communication & Media Studies";"Kommunikations- und Medienwissenschaften";"Comunicación y Medios"
"Complementary Medicine";"Komplementärmedizin";"Medicina Complementaria"
"Computer Science";"Computerwissenschaften";"Ciencias de la Computación"
"Counselling";"Seelsorge";"Consejería"
"Criminology";"Kriminologie";"Criminología"
"Dentistry";"Zahnheilkunde";"Odontología"
"East & South Asian Studies";"Ost- und Südasienstudien";"Estudios del Este y Sur de Asia"
"Economics";"Ökonomie, Volkswirtschaftslehre";"Economía"
"Education";"Bildung";"Educación"
"Electrical & Electronic Engineering";"Elektrotechnik und Elektronik";"Ingeniería Eléctrica y Electrónica"
"English";"Englisch / Anglistik";"English"
"Fashion";"Mode";"Moda"
"Food Science";"Ernährungswissenschaften";"Ciencias de los Alimentos"
"French";"Französisch";"Francés"
"Geography & Environmental Sciences";"Geographie & Umweltwissenschaften";"Geografía y Ciencias Ambientales"
"Geology";"Geologie";"Geología"
"General Engineering";"General Engineering";"Ingeniería General"
"German";"Deutsch / Germanistik";"Alemán"
"History";"Geschichte";"Historia"
"History of Art, Architecture & Design";"Geschichte der Kunst, der Architektur und des Designs";"Historia del Arte, Arquitectura y Diseño"
"Hospitality, Leisure, Recreation & Tourism";"Bewirtung, Freizeit, Erholung und Tourismus";"Hospitalidad, Ocio, Recreación y Turismo"
"Iberian Languages/Hispanic Studies";"Iberische / Hispanische Sprachwissenschaften";"Lenguajes Ibéricos/Estudios Hispánicos"
"Land & Property Management";"Land- und Immobilienwesen";"Gestión de Tierras y Propiedades"
"Law";"Recht";"Leyes"
"Librarianship & Information Management";"Bibliothekswesen und Informationsmanagement";"Bibliotecología y Ciencias de la Información"
"Linguistics";"Linguistik";"Lingüística"
"Marketing";"Marketing";"Marketing"
"Materials Technology";"Werkstofftechnik";"Tecnología de Materiales"
"Mathematics";"Mathematik";"Matemática"
"Mechanical Engineering";"Maschinenbau";"Ingeniería Mecánica"
"Medicine";"Medizin";"Medicina"
"Middle Eastern and African Studies";"Nahöstliche und Afrikanische Wissenschaften";"Estudios de África y Medio Oriente"
"Music";"Musik";"Música"
"Nursing";"Pflege";"Enfermería"
"Ophthalmics";"Augenheilkunde";"Oftalmología"
"Pharmacology & Pharmacy";"Pharmakologie und Pharmazie";"Farmacología y Farmacia"
"Philosophy";"Philosophie";"Filosofía"
"Physics and Astronomy";"Physik und Astronomie";"Física y Astronomía"
"Physiotherapy";"Physiotherapie";"Fisioterapia"
"Politics";"Politik";"Política"
"Psychology";"Psychologie";"Psicología"
"Robotics";"Robotik";"Robótica"
"Russian & East European Languages";"Russische und Osteuropäische Sprachwissenschaften";"Lenguajes de Rusia y Europa de Este"
"Social Policy";"Sozialpolitik";"Política Social"
"Social Work";"Sozialarbeit";"Trabajo Social"
"Sociology";"Soziologie";"Sociología"
"Sports Science";"Sportwissenschaften";"Ciencias del Deporte"
"Theology & Religious Studies";"Theologie & Religionswissenschaft";"Teología y Estudios Religiosos"
"Town & Country Planning and Landscape Design";"Stadt- und Landschaftsplanung und Landschaftsgestaltung";"Planificación Urbana y Rural y Diseño del Paisaje"
"Veterinary Medicine";"Tiermedizin";"Veterinaria"
"Youth Work";"Jugendarbeit";"Trabajo con Jóvenes"
