"University";"Universität"
"Private company";"Privatwirtschaft"
"Government";"Öffentliche Verwaltung"
"NGO";"Nichtregierungsorganisation"
"National laboratory";"Nationales Forschungsinstitut"
"Non-profit organization";"Gemeinnützige Organisation"
