"Freedom to choose own working practices";"Die Freiheit/Möglichkeit eigene Arbeitsmethoden/Herangehensweisen zu wählen/nutzen"
"Desire to advance research";"Der Wunsch weiter zu forschen"
"The salary";"Das Gehalt"
"Opportunity to develop software";"Die Möglichkeit Software zu entwickeln"
"Flexible working hours";"Flexible Arbeitszeiten"
"Desire to work in a research environment";"Der Wunsch in der Forschung tätig zu sein"
"Opportunity for career advancement";"Chance für beruflichen Aufstieg"
"Ability to work across disciplines";"Möglichkeit disziplinenübergreifend zu arbeiten"
"I want to learn new skills";"Möglichkeit neue Fähigkeiten zu lernen"
