"In general, what sort of testing do you conduct on your software? (check all that apply)",Count [PERCENTAGE]
Developers conduct testing,48.87218045112782
Users conduct testing,32.33082706766917
No formal testing,12.781954887218044
test engineers conduct testing,6.015037593984962
