,I find real enjoyment in my job,Most days I am enthusiastic about my job
Strongly disagree,40.0,60.0
Disagree,25.0,75.0
Neither agree or disagree,60.0,40.0
Agree,48.91304347826087,51.08695652173913
Strongly Agree,54.285714285714285,45.714285714285715
