In which subject is your highest academic qualification?,edu2. In which subject is your highest academic qualification? [PERCENTAGE]
Computer Science,25.97402597402597
Physics and Astronomy,23.376623376623375
Biological Sciences,11.688311688311687
Chemistry,9.090909090909092
Other,9.090909090909092
Geography & Environmental Sciences,5.194805194805195
Communication & Media Studies,3.896103896103896
Mathematics,2.5974025974025974
History,2.5974025974025974
Anthropology,1.2987012987012987
Electrical & Electronic Engineering,1.2987012987012987
Robotics,1.2987012987012987
Food Science,1.2987012987012987
Philosophy,1.2987012987012987
