How many years of software development experience do you have?,soft1can. How many years of software development experience do you have?
0,8.0
1,10.0
2,7.0
3,5.0
4,20.0
5,25.0
6,3.0
7,15.0
8,3.0
9,12.0
10,25.0
11,5.0
12,8.0
13,15.0
14,20.0
15,3.0
16,2.0
17,5.0
18,15.0
19,15.0
20,3.0
21,20.0
22,15.0
23,20.0
24,8.0
25,15.0
26,8.0
27,12.0
28,6.0
29,5.0
30,4.0
31,15.0
32,13.0
33,7.0
34,1.0
35,10.0
36,10.0
37,22.0
38,30.0
39,6.0
40,7.0
41,8.0
42,4.0
43,4.0
44,6.0
45,20.0
46,8.0
47,0.0
48,3.0
49,15.0
50,7.0
51,21.0
52,17.0
53,3.0
54,20.0
55,25.0
56,32.0
57,25.0
58,30.0
59,35.0
60,6.0
61,25.0
62,10.0
63,20.0
64,16.0
65,4.0
66,20.0
67,30.0
68,13.0
69,15.0
70,8.0
71,3.0
72,11.0
73,7.0
74,5.0
75,10.0
76,10.0
